Date,AAPL,MSFT,NVDA,JPM,XOM,KO,JNJ,WMT,DIS,SPY
2022-04-07,168.5049,290.908,24.1359,117.937,73.611,55.9833,160.919,49.5225,127.8563,423.568
2022-04-08,166.4982,286.6606,23.0501,120.0962,75.1602,56.3275,161.2377,49.7977,127.8563,422.4354
2022-04-11,162.2498,275.3572,21.8517,119.6554,72.5724,56.3098,159.2191,48.8107,126.6734,415.2151
2022-04-12,164.1195,272.2682,21.4399,118.3418,74.087,56.9717,159.2722,48.4753,126.8576,413.6766
2022-04-13,166.8016,277.6353,22.1368,114.5273,75.1343,57.1217,159.9451,49.7376,128.3217,418.4147
2022-04-14,161.7995,270.1156,21.1947,113.4657,76.0171,57.3776,159.2722,49.6933,126.4989,413.2047
2022-04-18,161.5842,270.7817,21.7181,115.5709,76.6403,56.8658,157.2891,49.3137,123.8811,413.3746
2022-04-19,163.865,275.3958,22.1319,117.964,75.9565,57.4217,162.0877,49.8736,127.8854,420.0475
2022-04-20,163.6985,276.419,21.418,118.3778,76.1296,58.2071,162.8047,50.5,120.7785,419.736
2022-04-21,162.9057,271.0617,20.1229,117.4602,75.3247,58.4277,162.3356,50.5759,117.9571,413.4595
2022-04-22,158.3734,264.5171,19.4569,114.0864,73.6802,57.5805,160.7242,49.6237,114.6702,402.1145
2022-04-25,159.4404,270.9747,19.8427,114.0505,71.1962,58.1894,164.6817,49.649,116.2991,404.4457
2022-04-26,153.4888,260.8393,18.732,110.6767,71.2222,57.4041,163.5042,49.1302,112.2463,392.7327
2022-04-27,153.2637,273.388,18.3601,109.2373,73.2561,57.8541,161.22,48.7948,111.7034,393.8369
2022-04-28,160.1844,279.5755,19.7231,110.9646,75.4718,58.4101,162.4241,49.4181,111.7809,403.7851
2022-04-29,154.3208,267.8859,18.4917,107.3839,73.7841,57.0158,159.7681,48.3994,108.2323,388.863
2022-05-02,154.6243,274.5946,19.4748,108.3646,74.7881,55.9833,158.1568,48.0799,110.0454,391.2038
2022-05-03,156.1122,271.998,19.5436,110.6857,76.3287,55.6656,157.8469,48.2476,110.0939,392.997
2022-05-04,162.5141,279.9134,20.2734,114.3473,79.3666,57.3864,159.5379,48.9151,112.6535,404.9649
2022-05-05,153.4594,267.7217,18.7879,111.4864,78.1636,56.9275,156.4923,48.496,109.1825,390.5713
2022-05-06,154.1849,265.1927,18.6194,111.3065,79.3579,57.1305,156.147,47.4863,106.9331,388.2401
2022-05-09,149.0676,255.3951,16.8995,109.6331,73.1003,57.0158,156.997,48.0419,103.7239,375.8096
2022-05-10,151.4693,260.1443,17.5426,106.9611,73.585,56.4863,156.7845,47.3656,104.4026,376.6779
2022-05-11,143.617,251.505,16.5805,106.2863,75.117,56.751,155.9346,46.8703,102.0077,370.6939
2022-05-12,139.7546,246.4855,16.1268,106.1964,75.458,56.9275,157.475,46.8259,101.1351,370.3071
2022-05-13,144.215,252.0552,17.6532,107.141,77.6964,57.9953,156.572,47.0069,104.0632,379.1602
2022-05-16,142.6759,252.422,17.2126,106.3943,79.5238,58.2071,157.661,47.0577,101.9787,377.6218
2022-05-17,146.3031,257.5573,18.1229,109.921,80.538,58.0483,158.3161,41.7045,105.3333,385.3896
2022-05-18,138.0488,245.8308,16.8875,108.0407,79.2615,54.0066,155.3768,38.8723,101.1254,369.854
2022-05-19,134.6471,244.9213,17.073,106.4393,79.6899,52.9476,153.9957,37.8055,100.0007,367.5887
2022-05-20,134.8823,244.3602,16.6443,105.5666,80.3194,53.8124,156.6871,37.8468,99.3027,367.7492
2022-05-23,140.2937,252.1875,16.8477,112.0982,82.0944,55.4715,159.8859,38.9263,102.6089,374.6298
2022-05-24,137.5979,251.191,16.1059,113.6816,82.5403,56.4951,161.6323,39.4121,98.4979,371.77
2022-05-25,137.7547,253.9968,16.9244,114.4733,84.2017,56.5392,160.0463,39.1708,100.1171,375.0545
2022-05-26,140.9505,257.2671,17.7978,116.4526,84.4989,56.7422,159.9037,40.0058,102.3956,382.5486
2022-05-27,146.6952,264.3687,18.755,118.0989,85.3296,57.0775,161.3561,40.7933,105.9926,391.9399
2022-05-31,145.911,263.0432,18.6164,118.9626,83.9393,55.9304,159.9661,40.8409,107.0786,389.7407
2022-06-01,145.7835,263.5754,18.2654,116.8754,85.5482,55.6568,158.3444,39.8312,105.8666,386.5883
2022-06-02,148.2343,265.6652,19.5336,118.7557,85.3995,56.2392,157.8454,40.4853,107.4955,393.9503
2022-06-03,142.5191,261.2533,18.6642,117.1003,86.6411,55.5685,157.195,39.7899,105.3624,387.485
2022-06-06,143.2641,260.0245,18.73,116.7134,86.4226,55.4803,157.1771,39.6471,104.548,388.6648
2022-06-07,145.7835,263.6528,18.8696,117.0194,90.3834,55.8156,158.9058,39.1708,104.5092,392.3929
2022-06-08,145.0482,261.6306,18.5964,115.157,91.4502,55.4979,157.9613,38.8311,104.0729,388.1267
2022-06-09,139.833,256.1931,17.998,112.7369,89.4741,54.5361,154.7803,38.4246,100.1559,378.896
2022-06-10,134.4314,244.7762,16.927,107.5549,87.839,54.1919,153.7467,38.6406,96.3746,367.9097
2022-06-13,129.2847,234.3945,15.6037,104.3521,83.8082,54.1301,152.1963,37.9135,92.7969,353.9408
2022-06-14,130.1474,236.5522,15.7922,102.6157,84.0268,52.6458,149.8618,37.9293,91.3522,352.8742
2022-06-15,132.7648,243.5861,16.4812,103.8303,82.9688,53.0369,151.4657,37.9039,92.9617,357.9049
2022-06-16,127.5005,237.0166,15.5578,102.0489,79.9085,52.5036,151.5459,38.2977,91.4104,346.0598
2022-06-17,128.971,239.6096,15.836,101.6891,75.3006,52.8235,150.9934,37.5579,91.4686,346.8058
2022-06-21,133.1962,245.5019,16.5201,104.2081,79.9872,53.9524,154.1566,38.7898,90.4506,355.5361
